Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2018-01-01,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,13657.2001953125,10291200000,510529503.91644907,10291200000,,,,,,,,1000.0,,,,,,0.0,0.0,,14598.866861979166,12683.866861979166,,0.5082680591818977,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,13633.4501953125,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0
2018-01-02,13625.0,15444.599609375,13163.599609375,14982.099609375,14982.099609375,16846600192,10525430801.747225,27137800192,,,9080.474968492459,,1634306476.0071993,,,1000.0,,,,,,0.0,0.0,,15704.983235677082,12466.483235677082,,0.7767844291177761,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14299.64990234375,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,9.70110560814097,9.258925971214182,9.70110560814097
2018-01-03,14978.2001953125,15572.7998046875,14844.5,15201.0,15201.0,16871900160,10170993280.971338,44009700352,,,3904.621266435716,,1880818355.6438124,,,1000.0,,,,,,0.0,0.0,,15781.455403645834,13136.922200520834,,0.7805074245390757,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14363.75,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,,14112.2001953125,0.0,1.0,,,,,,,,,,,,,,,,,,,1.4610795304552893,1.450508605496914,11.30392600686465
2018-01-04,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,15599.2001953125,21783199744,26926612632.310966,65792900096,,,-434.2768483156543,,2451443603.4954023,,,1000.0,,,,,,0.0,0.0,,15962.224934895832,13370.075032552084,,0.8599522584495999,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14447.2001953125,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,14844.5,,1.0,0.0,,,,,,,,,,,,,,,,,,,2.6195657872015055,2.5858428248032084,14.219605572352556
2018-01-05,15477.2001953125,17705.19921875,15202.7998046875,17429.5,17429.5,23840899072,45514219834.50729,89633799168,,,13887.051088770246,,5248766053.9226,,,1000.0,,,,,,0.0,0.0,,16626.093098958332,13551.413411458334,,1.2612977554403115,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,15429.94970703125,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,14844.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,11.733292616101544,11.094452953729395,27.621326119113697
2018-01-06,17462.099609375,17712.400390625,16764.599609375,17527.0,17527.0,18314600448,56663740564.54837,107948399616,,,4059.876587507934,,5351217274.191685,,,1005.5939642560028,,,,,,0.0,0.0,,16902.155490451387,14023.988823784724,,1.21709809816965,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,15433.55029296875,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,14522.2001953125,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.5593964256002781,0.557837614383061,28.335235255727696
2018-01-07,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,16477.599609375,15866000384,49090717836.98687,92082399232,,,-3806.854965701388,,4401266512.473992,,,945.3856742519866,,,,,,0.0,0.0,,17088.54268973214,14195.285714285714,,0.7888389847352314,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,15433.55029296875,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,14713.61220703125,,0.0,0.0,,,,,,,,,,,,,,,,,,,-5.987336056512804,-6.1740689989333575,20.651373442050968
2018-01-08,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,15170.099609375,18413899776,45882482241.10608,73668499456,,,-18479.296817230046,,2940120803.8829317,,,945.3856742519866,,,,,,0.0,0.0,,17156.862386067707,14042.837483723959,,0.3619952187288597,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,15433.55029296875,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,,17712.400390625,0.0,1.0,,,,,,,,,,,,,,,,,,,-7.935014996092593,-8.267549955484554,11.077668866432555
2018-01-09,15123.7001953125,15497.5,14424.0,14595.400390625,14595.400390625,16659999744,34542520622.73999,57008499712,,,-2656.6889033798125,,2308978683.2778006,,,909.5709846718142,,,,,,0.0,0.0,,17018.59620949074,14012.018518518518,,0.19403518953067078,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,15433.55029296875,,,15433.55029296875,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,,17642.31638671875,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.788368129071751,-3.8619922206656554,6.869637860580791
2018-01-10,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,14973.2998046875,18500800512,53043321134.73999,75509300224,,,-4355.485071954207,,2787995461.581656,,,909.5709846718142,,,,,,0.0,0.0,15418.369954427084,16899.539876302086,13937.200032552084,19.213054638758514,0.3497572279971179,0.0,0.0,,,,,,1481.169921875,,,,,,,,,,,,,,,,,,15438.0,,,15433.55029296875,,0.0,0.0,0.0,,22894.392382661063,22565.299369845445,,,,,17573.634062890626,0.0,0.0,,,,,,,,,,,,,,,,,,14973.2998046875,2.5891678470515656,2.5562164635523743,9.636672162327375
